ParkID;Name;Official;Advisories;SpecialFeatures;Facilities;Washrooms;StreetNumber;StreetName;EWStreet;NSStreet;NeighbourhoodName;NeighbourhoodURL;Hectare;GoogleMapDest
164;Hillcrest Park;1;N;N;Y;N;4501;Clancy Loranger Way;Midlothian Avenue;Clancy Loranger Way;Riley Park;https://vancouver.ca/news-calendar/renfrew.aspx;7.51;49.244734,-123.108417
166;Prince Edward Park;1;N;N;Y;Y;3773;Prince Edward Street;E 21st Avenue;Prince Edward Street;Riley Park;https://vancouver.ca/news-calendar/renfrew.aspx;1.21;49.2512273,-123.0971535
167;Queen Elizabeth Park;1;N;N;Y;Y;4600;Cambie Street;W 29th Avenue;Cambie Street;Riley Park;https://vancouver.ca/news-calendar/renfrew.aspx;52.98;49.240978,-123.112028
168;Riley Park;1;N;N;Y;N;50;E 30th Avenue;E 30th Avenue;Ontario Street;Riley Park;https://vancouver.ca/news-calendar/renfrew.aspx;2.7;49.241987,-123.104361
169;Angus Park;1;N;N;N;N;3600;Angus Drive;Alexandra Street;Angus Drive;Shaughnessy;https://vancouver.ca/news-calendar/shaughnessy.aspx;1.0;49.253932,-123.143816
170;Devonshire Park;1;N;N;N;N;1250;Devonshire Crescent;Devonshire Crescent;Selkirk Street;Shaughnessy;https://vancouver.ca/news-calendar/shaughnessy.aspx;1.53;49.24502,-123.13364
174;Braemar Park;1;N;N;Y;Y;895;W 27th Avenue;W 27th Avenue;Willow Street;South Cambie;https://vancouver.ca/news-calendar/south-cambie.aspx;1.26;49.247615,-123.12363
175;Douglas Park;1;N;N;Y;N;801;W 22nd Avenue;W 22nd Avenue;Heather Street;South Cambie;https://vancouver.ca/news-calendar/south-cambie.aspx;5.32;49.252493,-123.122225
177;Heather Park;1;N;N;Y;N;702;W 18th Avenue;W 18th Avenue;Heather Street;South Cambie;https://vancouver.ca/news-calendar/south-cambie.aspx;0.98;49.254765,-123.121103
181;Strathcona Park;1;N;N;Y;Y;857;Malkin Avenue;Malkin Avenue;Hawks Avenue;Strathcona;https://vancouver.ca/news-calendar/strathcona.aspx;10.07;49.275276,-123.084674
183;Thornton Park;1;N;N;N;N;1166;Main Street;Terminal Avenue;Main Street;Strathcona;https://vancouver.ca/news-calendar/strathcona.aspx;1.49;49.273946,-123.099212
193;Gladstone-Riverside Park;1;N;N;N;N;2500;E Kent Street S;E Kent Street S;Nanaimo Street;Victoria-Fraserview;https://vancouver.ca/news-calendar/victoria-fraserview.aspx;1.07;49.205532,-123.056883
196;Nanaimo Park;1;N;N;Y;Y;2390;E 46th Avenue;E 46th Avenue;Nanaimo Street;Victoria-Fraserview;https://vancouver.ca/news-calendar/victoria-fraserview.aspx;2.91;49.227724,-123.057508
197;Riverfront Park;1;N;N;Y;Y;2750;E Kent Ave S;E Kent Ave S;Elliott Street;Killarney;https://vancouver.ca/news-calendar/killarney.aspx;4.01;49.205951,-123.04575
199;Alexandra Park;1;N;N;N;N;1755;Beach Avenue;Beach Avenue;Bidwell Street;West End;https://vancouver.ca/news-calendar/west-end.aspx;0.55;49.28546,-123.14223
200;Barclay Heritage Square;1;N;N;N;Y;1433;Barclay Street;Barclay Street;Nicola Street;West End;https://vancouver.ca/news-calendar/west-end.aspx;0.56;49.28718,-123.132167
204;Rosemont Park;0;N;N;N;N;3101;Rosemont Drive;Rosemont Drive;Kerr Street;Killarney;https://vancouver.ca/news-calendar/killarney.aspx;1.36;49.215746,-123.040816
207;Sunset Beach Park;1;N;Y;Y;Y;1204;Beach Avenue;Beach Avenue;Bute Street;West End;https://vancouver.ca/news-calendar/west-end.aspx;3.61;49.281211,-123.139681
212;Sahalli Park;0;N;N;N;N;2300;Fraser Street;E 7th Avenue;Fraser Street;Mount Pleasant;https://vancouver.ca/news-calendar/mount-pleasant.aspx;0.06;49.263885,-123.089121
